CÓDIGO;DESCRIPCIÓN
6622;ACTIVIDADES DE LOS AGENTES Y CORREDORES DE SEGURO.
6629;OTRAS ACTIVIDADES AUXILIARES DE SEGUROS Y FONDOS DE PENSIONES.
6630;ACTIVIDADES DE GESTIÓN DE FONDOS.
6810;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS.
6820;ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO.
6910;ACTIVIDADES JURÍDICAS.
6920;"ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS Y AUDITORIAS; CONSULTORÍA FISCAL."
7010;ACTIVIDADES DE OFICINAS PRINCIPALES.
7020;ACTIVIDADES DE CONSULTORÍA DE GESTIÓN.
7110;ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA.
7120;ENSAYOS Y ANÁLISIS TÉCNICOS.
7210;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA.
7220;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES.
7310;PUBLICIDAD.
7320;ESTUDIOS DE MERCADO Y ENCUESTAS DE OPINIÓN PÚBLICA.
7410;ACTIVIDADES ESPECIALIZADAS DE DISEÑO.
7420;ACTIVIDADES DE FOTOGRAFÍA.
7490;OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.
7500;ACTIVIDADES VETERINARIAS.
7710;ALQUILER DE VEHÍCULOS AUTOMOTORES.
7721;ALQUILER DE EQUIPO RECREATIVO Y DEPORTIVO.
7722;ALQUILER DE CINTAS DE VIDEO Y DISCOS.
7729;ALQUILER OTROS EFECTOS PERSONALES Y ARTÍCULOS DE USO DOMÉSTICOS.
7730;ALQUILER DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES.
7740;ARRENDAMIENTO DE PROPIEDAD INTELECTUAL Y PRODUCTOS SIMILARES, EXCEPTO OBRAS PROTEGIDAS POR DERECHOS DE AUTOR.
7810;ACTIVIDADES DE AGENCIAS DE EMPLEO.
7820;ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL.
7830;OTRAS ACTIVIDADES DE DOTACIÓN DE RECURSOS HUMANOS.
7911;ACTIVIDADES DE AGENCIAS DE VIAJES.
7912;ACTIVIDADES DE OPERADORES TURÍSTICOS.
7990;OTROS SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS.
8010;ACTIVIDADES DE SEGURIDAD PRIVADA.
8020;ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD.
8030;ACTIVIDADES DE INVESTIGACIÓN.
8110;ACTIVIDADES COMBINADAS DE APOYO A INSTALACIONES.
8121;LIMPIEZA GENERAL DE EDIFICIOS.
8129;OTRAS ACTIVIDADES DE LIMPIEZA DE EDIFICIOS E INSTALACIONES INDUSTRIALES.
8130;ACTIVIDADES DE PAISAJISMO Y SERVICIOS DE MANTENIMIENTO CONEXOS.
8211;ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA.
8219;FOTOCOPIADO, PREPARACIÓN DE DOCUMENTOS Y OTRAS ACTIVIDADES ESPECIALIZADAS DE APOYO DE OFICINA.
8220;ACTIVIDADES DE CENTROS DE LLAMADAS.
8230;ORGANIZACIÓN DE CONVENCIONES Y EXPOSICIONES COMERCIALES.
8291;ACTIVIDADES DE AGENCIAS DE COBRO Y AGENCIAS DE CALIFICACIÓN CREDITICIA.
8292;ACTIVIDADES DE ENVASADO Y EMPAQUETADO.
8299;OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A EMPRESAS N.C.P.
8411;ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA EN GENERAL.
8412;REGULACIÓN DE LAS ACTIVIDADES DE ORGANISMOS QUE PRESTAN SERVICIOS SANITARIOS, EDUCATIVOS, CULTURALES Y OTROS SERVICIOS SOCIALES, EXCEPTO SERVICIOS DE SEGURIDAD SOCIAL.
8413;REGULACIÓN Y FACILITACIÓN DE LA ACTIVIDAD ECONÓMICA.
8421;RELACIONES EXTERIORES.
8422;ACTIVIDADES DE DEFENSA.
8423;ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PÚBLICO Y DE SEGURIDAD.
8430;ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.
8510;ENSEÑANZA PREPRIMARIA Y PRIMARIA.
8521;ENSEÑANZA SECUNDARIA DE FORMACIÓN GENERAL.
8522;ENSEÑANZA DE FORMACIÓN TÉCNICA Y PROFESIONAL.
8530;ENSEÑANZA SUPERIOR.
8541;ENSEÑANZA DEPORTIVA Y RECREATIVA.
8542;ENSEÑANZA CULTURAL.
8549;OTROS TIPOS DE ENSEÑANZA N.C.P.
8550;ACTIVIDADES DE APOYO A LA ENSEÑANZA.
8610;ACTIVIDADES DE HOSPITALES Y CLÍNICAS.
8620;ACTIVIDADES DE MÉDICOS Y ODONTÓLOGOS.
8690;OTRAS ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA.
8710;ACTIVIDADES DE ATENCIÓN DE ENFERMERÍA EN INSTITUCIONES.
8720;ACTIVIDADES DE ATENCIÓN EN INSTITUCIONES PARA PERSONAS CON RETRASO MENTAL, ENFERMOS MENTALES Y TOXICÓMANOS.
8730;ACTIVIDADES DE ATENCIÓN EN INSTITUCIONES PARA PERSONAS DE EDAD Y PERSONAS CON DISCAPACIDAD.
8790;OTRAS ACTIVIDADES DE ATENCIÓN EN INSTITUCIONES.
8810;ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO PARA PERSONAS DE EDAD Y PERSONAS CON DISCAPACIDAD.
8890;OTRAS ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO.
9000;ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO.
9101;ACTIVIDADES DE BIBLIOTECAS Y ARCHIVOS.
9102;ACTIVIDADES DE MUSEOS Y GESTIÓN DE LUGARES Y EDIFICIOS HISTÓRICOS.
9103;ACTIVIDADES DE JARDINES BOTÁNICOS Y ZOOLÓGICOS Y RESERVAS NATURALES.
9200;ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS.
9311;EXPLOTACIÓN DE INSTALACIONES DEPORTIVAS.
9312;ACTIVIDADES DE CLUBES DEPORTIVOS.
9319;OTRAS ACTIVIDADES DEPORTIVAS.
9321;ACTIVIDADES DE PARQUES DE ATRACCIONES Y PARQUES TEMÁTICOS.
9329;OTRAS ACTIVIDADES DE ESPARCIMIENTO Y RECREATIVAS N.C.P.
9411;ACTIVIDADES DE ASOCIACIONES EMPRESARIALES Y DE EMPLEADORES.
9412;ACTIVIDADES DE ASOCIACIONES PROFESIONALES.
9420;ACTIVIDADES DE SINDICATOS.
9491;ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS.
9492;ACTIVIDADES DE ORGANIZACIONES POLÍTICAS.
9499;ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.
9511;REPARACIÓN DE COMPUTADORAS Y EQUIPO PERIFÉRICO.
9512;REPARACIÓN DE EQUIPO DE COMUNICACIONES.
9521;REPARACIÓN DE APARATOS ELECTRÓNICOS DE CONSUMO.
9522;REPARACIÓN DE APARATOS DE USO DOMÉSTICO Y EQUIPO DOMÉSTICO Y DE JARDINERÍA.
9523;REPARACIÓN DE CALZADO Y ARTÍCULOS DE CUERO.
9524;REPARACIÓN DE MUEBLES Y ACCESORIOS DOMÉSTICOS.
9529;REPARACIÓN DE OTROS BIENES PERSONALES Y ENSERES DOMÉSTICOS.
9601;LAVADO Y LIMPIEZA, INCLUIDA LA LIMPIEZA EN SECO, DE PRODUCTOS TEXTILES Y DE PIEL.
9602;ACTIVIDADES DE PELUQUERÍA Y OTROS TRATAMIENTOS DE BELLEZA.
9603;POMPAS FÚNEBRES Y ACTIVIDADES CONEXAS.
9609;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.
9700;ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES DE PERSONAL DOMÉSTICO.
9900;ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES.
9999;SE IGNORA
